height,weight,shoot,3pt,score,rebound,assist,steal,block,position,forward,center,guard
2.03,113.4,46.8,41.9,23,10.8,5.8,0.9,0.2,0,1,0,0
2.13,108.9,65.3,0,8.3,8.1,0.5,1.1,1.5,1,0,1,0
1.88,90.7,43.1,43.8,12.8,2.4,4.3,1.1,0.7,2,0,0,1
2.06,99.8,47.3,28,4.1,2.2,0.5,0.3,0.3,0,1,0,0
2.01,97.5,41.1,39.5,10.7,4.1,1.3,0.6,0.1,0,1,0,0
2.03,115.7,53.8,0,2.7,3.3,0.3,0.3,0,0,1,0,0
1.96,91.6,57.1,50,12.5,6,1.5,0.5,1,2,0,0,1
2.03,104.3,34,24.3,3.6,2.1,0.6,0.4,0.1,0,1,0,0
1.93,93.9,45.2,42.6,10.6,1.8,1.4,0.4,0.2,2,0,0,1
2.03,95.3,42.4,35,22.6,4.9,2.8,0.7,1.1,0,1,0,0
1.96,88.5,27.7,25,4.6,1.1,3.6,0.3,0,2,0,0,1
2.03,93.9,41.8,27.4,12.9,4.1,2.1,0.9,0.8,2,0,0,1
1.9,93,43,42.9,6,1.5,0.7,0.3,0,2,0,0,1
1.9,90.7,45.5,33.3,11.3,4,3.7,1.3,0.3,2,0,0,1
1.88,83,49.5,54.5,6.2,1.7,2.9,0.6,0.3,2,0,0,1
1.93,93,52.9,45.8,5.7,1.4,1,0.5,0.1,2,0,0,1
2.08,122.5,59.5,0,4.3,2.3,0.3,0.2,0.2,1,0,1,0
2.11,115.2,60.1,0,10.3,9.5,3.6,0.9,0.9,0,1,0,0
2.03,86.2,20,20,0.5,0.3,0.1,0.1,0,0,1,0,0
1.88,93,41.5,36.2,7.6,3,3.9,1.1,0.9,2,0,0,1
2.03,113.4,57.8,42.1,6.4,5.8,0.8,0.5,1,0,1,0,0
1.88,83.9,37.5,32.5,11,4.4,3.8,0.7,0.4,2,0,0,1
1.98,100.2,40.1,33.3,10.4,3,1.2,0.5,0.1,2,0,0,1
2.13,104.8,46.8,26.8,5.1,4,0.4,0.1,1,1,0,1,0
2.06,105.7,45.9,20,5.5,5.4,1.1,0.7,0.6,1,0,1,0
2.08,122.5,66.7,0,8,8,0,1,0,1,0,1,0
1.96,86.2,38.4,23.4,8.7,4.5,4.2,0.6,0.5,2,0,0,1
1.98,97.5,48.7,44.3,7.8,4,1.4,0.8,0.2,0,1,0,0
1.9,94.8,39.4,25,12.9,3.1,5.4,1,0.3,2,0,0,1
1.93,79.4,50,50,10,3,1,1,0,2,0,0,1
1.9,86.2,16.7,50,1,1.5,0.4,0,0.2,2,0,0,1
1.98,103.9,41.8,41.3,5.7,3.6,1.9,0.8,0.4,0,1,0,0
2.03,89.8,28.6,20,5,4,1,1,0,0,1,0,0
1.88,83.9,42.5,38,5.9,1.9,2.5,0.3,0.1,2,0,0,1
1.98,93.4,41.4,36,16,3.5,2.3,1.1,0.5,2,0,0,1
1.88,83.9,46,42.4,12.8,2.1,2.8,0.9,1.4,2,0,0,1
2.13,127,52.5,42.2,29.9,11.5,3.3,1.2,3.2,1,0,1,0
1.98,97.5,41.5,40.6,9.7,3.6,1.7,1.3,1.1,2,0,0,1
2.03,102.5,51.7,40.4,20.7,7.5,3.6,0.9,1.9,0,1,0,0
2.08,120.2,57,28.6,6.7,8.1,0.7,0.4,1.7,1,0,1,0
1.93,74.8,35.6,35.8,3.8,1.1,0.6,0.3,0.2,2,0,0,1
2.01,91.6,39.6,35.8,8.8,2.1,1.1,0.8,0.9,2,0,0,1
1.88,90.7,45.9,30.2,7.4,1.7,1.5,0.4,0.6,2,0,0,1
1.96,93,44.8,30.6,13.7,2.3,3.1,0.6,1.8,2,0,0,1
2.06,95.3,43.8,0,2.8,1.9,0.3,0.4,0.6,0,1,0,0
2.01,107.5,36.1,33,4,2.8,0.6,0.6,0.5,0,1,0,0
2.11,108.9,55.7,33.3,15.7,7.8,7.4,1.5,3.6,2,0,0,1
1.96,91.2,41,31.3,3.8,1.9,1,1.5,0.4,2,0,0,1
2.11,113.4,47.7,33.3,12.7,6.4,1,0.9,3.5,1,0,1,0
1.98,86.2,49.4,20.7,4.2,2.4,0.3,0.2,1.1,0,1,0,0
1.96,103.9,52.6,30.8,20.4,11.3,6.1,1.2,0.6,2,0,0,1
1.98,81.6,44.4,41.6,10.4,3.5,1.6,0.85,0.5,2,0,0,1
1.83,83.9,43,39.5,11.5,3.8,1.7,1.2,0.4,0,1,0,0
1.96,81.6,54.7,30.4,7.2,3.5,6.5,1.8,0.4,2,0,0,1
1.98,93,46.2,41.1,21.5,4.7,6,1,0.2,2,0,0,1
1.96,104.3,45.5,20,2.4,1.9,0.1,0.1,0.2,0,1,0,0
1.85,86.2,26.7,20,1.1,0.7,0,0,0.2,2,0,0,1
2.01,102.1,37.3,33.1,6.7,1.2,1.7,0.6,0.1,0,1,0,0
2.11,108.9,33.3,22.2,1.3,0.9,0.1,0.2,0.1,0,1,0,0
2.01,97.1,51.6,37.8,13.4,3.855,1.4,0.3,0.1,0,1,0,0
1.96,86.2,50.4,38.8,5.6,1.4,0.5,0.5,0.1,2,0,0,1
1.93,88.9,50,0,1,0.3,0,0,0,2,0,0,1
2.11,113.4,37.3,32.1,15,4.4,3.9,1.4,0,1,0,1,0
2.03,99.8,52.9,0,15.5,3.5,1.3,0.5,0,0,1,0,0
2.06,95.3,42.5,32.6,6.1,4.6,1.2,0.6,0.2,0,1,0,0
1.9,93.9,48.5,33.8,31.3,5,4.8,1.2,0.4,2,0,0,1
2.08,102.1,38.9,38.2,10.8,2.9,0.9,0.6,0.2,0,1,0,0
2.03,81.6,39,31.4,2.1,2,0.6,0.2,0.2,2,0,0,1
2.08,112.5,64.8,42.9,14.3,6.1,1.5,0.4,0.8,1,0,1,0
2.08,106.1,76.9,0,12,5.5,0,0.5,2.5,0,1,0,0
2.01,104.3,33.3,12.5,0.9,1.5,0.3,0.2,0.2,0,1,0,0
2.03,104.3,48.1,33.7,14.3,5.9,1.6,0.7,0.1,0,1,0,0
1.98,95.3,52.9,33.3,11.5,5,1,0,0,0,1,0,0
2.13,113.4,65.7,20,7.3,4,1,0.3,1.2,1,0,1,0
2.13,127.5,59.5,31.3,8.3,4.3,0.8,0.3,0.6,1,0,1,0
1.96,97.54,43.1,41.4,6.7,1.6,0.5,0.6,0.2,2,0,0,1
1.85,81.6,44.8,36.5,8,2.3,2.2,1.2,0.1,2,0,0,1
1.93,86.2,30.4,26.8,5.2,2.3,1.5,0.8,0.3,2,0,0,1
1.83,79.4,37.9,25,5.2,3.5,4.7,0.8,0.2,2,0,0,1
1.9,90.7,43.3,32.3,21.8,10.3,10.6,1.3,0.4,2,0,0,1
1.85,83.9,38.9,50,2,0.6,0.9,0.2,0.1,2,0,0,1
2.01,105.2,48.4,40.6,14.7,5.9,1.8,1.7,0.8,0,1,0,0
2.08,117.9,42.5,23.8,5.9,5.1,0.9,0.3,0.4,1,0,1,0
1.96,95.3,53.4,32.1,4.8,2.4,1.9,0.7,0.3,2,0,0,1
2.06,90.7,53,40.9,13.4,6.3,0.9,0.5,1.9,0,1,0,0
1.85,79.4,27.5,18.4,2.3,1,1.3,0.2,0,2,0,0,1
1.96,88.5,25,50,0.8,0.8,0.5,0.3,0,2,0,0,1
2.03,94.3,46.7,33.3,7.3,1.3,0,0.3,0.3,2,0,0,1
1.98,109.8,38.7,37.1,3,2.1,1.1,0.7,0.3,0,1,0,0
1.83,88.9,43.6,37.4,17,5.4,7.3,1,0.3,2,0,0,1
2.06,104.3,44.8,29.4,20.1,7.4,4.7,1.1,0.7,0,1,0,0
1.96,94.8,33.3,23.5,9.7,3.7,1.7,1,0,2,0,0,1
1.85,89.4,39.5,37.3,20.1,4.3,6.2,1.7,0.7,2,0,0,1
2.06,97.5,33.3,37.1,2.4,3.1,0.5,0.4,0.5,2,0,0,1
1.98,95.3,45.5,45.5,3,1.5,0.5,0.2,0.1,2,0,0,1
1.88,93,19.1,45.6,9.4,1.3,0.6,0.2,0,2,0,0,1
1.9,93,31.4,49.3,16.1,4.5,5.1,1.8,0.5,2,0,0,1
2.13,127.9,27.1,46.8,11.3,5.1,0.7,0.7,1.4,1,0,1,0
1.93,93,7.4,46.5,2.8,1,0.8,0.3,0.1,2,0,0,1
2.01,100.7,33.4,49.2,20.4,6.1,5.4,1.1,0.2,0,1,0,0
2.03,102.1,8.9,41,5,1.9,0.3,0.4,0.2,0,1,0,0
2.08,113.4,21,53.8,11,6.8,1.1,0.8,0.4,0,1,0,0
2.01,95.3,9.8,28.6,1,1,0.5,0,0.8,2,0,0,1
1.96,111.1,14.7,25,1,2,0.3,0,0.7,0,1,0,0
